scenarioType simulation numSimulation numSequences popSize recRate mutRate length rho thetaRate theta status invSites jukesCantor popGrowth alphaShape pValNSS pValMaxChi pValPHI
2 scenario2_n33_popSize1370_r0 1 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 9.11e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 2 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 2.30e-02 1.00e+00
2 scenario2_n33_popSize1370_r0 3 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 9.78e-01 4.23e-01
2 scenario2_n33_popSize1370_r0 4 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 9.06e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 5 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 3.47e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 6 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 7.03e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 7 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 9.13e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 8 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 2.91e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 9 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 6.74e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 10 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 3.90e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 11 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 2.93e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 12 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 6.48e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 13 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 4.53e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 14 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 4.90e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 15 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 9.73e-01 3.09e-01
2 scenario2_n33_popSize1370_r0 16 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 3.00e-02 1.00e+00
2 scenario2_n33_popSize1370_r0 17 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 6.40e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 18 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 5.24e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 19 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 6.77e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 20 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 8.12e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 21 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 1.88e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 22 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 7.42e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 23 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 4.80e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 24 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 4.51e-01 9.97e-01 6.76e-01
2 scenario2_n33_popSize1370_r0 25 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 2.06e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 26 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 3.14e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 27 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 4.46e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 28 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 5.41e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 29 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 7.39e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 30 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 9.15e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 31 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 4.23e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 32 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 1.97e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 33 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 5.42e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 34 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 7.15e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 35 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 5.62e-01 9.73e-01 8.42e-02
2 scenario2_n33_popSize1370_r0 36 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 3.10e-02 5.61e-01 2.46e-01
2 scenario2_n33_popSize1370_r0 37 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 8.73e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 38 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 2.60e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 39 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 8.03e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 40 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 2.08e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 41 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 9.96e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 42 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 9.95e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 43 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 9.84e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 44 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 3.63e-01 9.91e-01
2 scenario2_n33_popSize1370_r0 45 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 3.19e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 46 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 3.55e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 47 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 6.63e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 48 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 3.72e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 49 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 1.92e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 50 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 8.90e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 51 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 9.43e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 52 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 6.33e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 53 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 2.64e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 54 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 9.64e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 55 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 6.43e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 56 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 9.25e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 57 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 8.11e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 58 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 6.59e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 59 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 8.25e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 60 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 6.78e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 61 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 4.12e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 62 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 9.52e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 63 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 7.54e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 64 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 4.52e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 65 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 8.14e-01 6.35e-01 5.65e-01
2 scenario2_n33_popSize1370_r0 66 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 1.50e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 67 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 7.92e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 68 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 8.58e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 69 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 8.18e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 70 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 6.09e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 71 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 2.97e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 72 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 4.74e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 73 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 2.76e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 74 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 8.02e-01 1.00e+00
2 scenario2_n33_popSize1370_r0 75 33 1370 0 5e-7 6854 0 0.000685 4.69499 1 0 1 0 0.2 1.00e+00 4.51e-01 1.00e+00
