scenarioType simulation numSimulation numSequences popSize recRate mutRate length rho thetaRate theta status invSites jukesCantor popGrowth alphaShape pValNSS pValMaxChi pValPHI
3 scenario3_n33_popSize1370_r2.9e-7 1 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 1.79e-01 9.30e-01 5.27e-01
3 scenario3_n33_popSize1370_r2.9e-7 2 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 1.00e+00 6.98e-01 1.00e+00
3 scenario3_n33_popSize1370_r2.9e-7 3 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 1.00e+00 9.70e-01 1.00e+00
3 scenario3_n33_popSize1370_r2.9e-7 4 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 3.50e-02 8.70e-01 1.90e-01
3 scenario3_n33_popSize1370_r2.9e-7 5 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 1.00e+00 7.12e-01 1.00e+00
3 scenario3_n33_popSize1370_r2.9e-7 6 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 1.00e+00 7.53e-01 1.00e+00
3 scenario3_n33_popSize1370_r2.9e-7 7 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 4.69e-01 2.09e-01 7.65e-03
3 scenario3_n33_popSize1370_r2.9e-7 8 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 3.50e-01 5.73e-01 3.27e-01
3 scenario3_n33_popSize1370_r2.9e-7 9 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 9.48e-01 5.72e-01 2.85e-01
3 scenario3_n33_popSize1370_r2.9e-7 10 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 3.27e-01 7.42e-01 2.82e-01
3 scenario3_n33_popSize1370_r2.9e-7 11 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 5.10e-02 4.61e-01 2.06e-01
3 scenario3_n33_popSize1370_r2.9e-7 12 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 1.00e+00 6.00e-03 1.00e+00
3 scenario3_n33_popSize1370_r2.9e-7 13 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 6.00e-03 5.61e-01 3.17e-01
3 scenario3_n33_popSize1370_r2.9e-7 14 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 1.00e-03 3.06e-01 1.92e-01
3 scenario3_n33_popSize1370_r2.9e-7 15 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 1.00e+00 9.82e-01 1.00e+00
3 scenario3_n33_popSize1370_r2.9e-7 16 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 1.00e+00 4.80e-02 1.00e+00
3 scenario3_n33_popSize1370_r2.9e-7 17 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 2.72e-01 6.39e-01 3.53e-01
3 scenario3_n33_popSize1370_r2.9e-7 18 33 1370 2.9e-7 5e-7 6854 5.44619 0.000685 4.69499 1 0 1 1e-3 0.2 3.00e-03 2.20e-02 8.20e-02
