scenarioType simulation numSimulation numSequences popSize recRate mutRate length rho thetaRate theta status invSites jukesCantor popGrowth alphaShape pValNSS pValMaxChi pValPHI
1 scenario1_n550_popSize5446_r0 1 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 3.86e-01 4.48e-01 3.50e-01
1 scenario1_n550_popSize5446_r0 2 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 5.44e-01 5.74e-01 1.19e-01
1 scenario1_n550_popSize5446_r0 3 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 1.00e+00 7.23e-01 1.00e+00
1 scenario1_n550_popSize5446_r0 4 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 4.63e-01 9.79e-01 2.28e-01
1 scenario1_n550_popSize5446_r0 5 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 1.40e-02 7.29e-01 1.17e-01
1 scenario1_n550_popSize5446_r0 6 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 4.51e-01 5.53e-01 9.51e-01
1 scenario1_n550_popSize5446_r0 7 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 1.00e+00 6.45e-01 4.19e-01
1 scenario1_n550_popSize5446_r0 8 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 8.50e-01 3.73e-01 6.54e-01
1 scenario1_n550_popSize5446_r0 9 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 1.00e+00 5.45e-01 4.32e-01
1 scenario1_n550_popSize5446_r0 10 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 8.03e-01 8.83e-01 1.67e-01
1 scenario1_n550_popSize5446_r0 11 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 5.00e-02 1.28e-01 3.93e-01
1 scenario1_n550_popSize5446_r0 12 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 8.18e-01 7.84e-01 9.97e-01
1 scenario1_n550_popSize5446_r0 13 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 1.00e+00 4.70e-02 4.40e-01
1 scenario1_n550_popSize5446_r0 14 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 3.95e-01 2.75e-01 6.17e-01
1 scenario1_n550_popSize5446_r0 15 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 3.43e-01 8.04e-01 9.47e-01
1 scenario1_n550_popSize5446_r0 16 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 9.96e-01 8.43e-01 1.46e-01
1 scenario1_n550_popSize5446_r0 17 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 8.92e-01 9.46e-01 1.24e-01
1 scenario1_n550_popSize5446_r0 18 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 3.08e-01 3.55e-01 7.29e-01
1 scenario1_n550_popSize5446_r0 19 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 0 0 4.18e-01 5.12e-01 1.22e-01
