scenarioType simulation numSimulation numSequences popSize recRate mutRate length rho thetaRate theta status invSites jukesCantor popGrowth alphaShape pValNSS pValMaxChi pValPHI
3 scenario3_n550_popSize5446_r0 1 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 6.24e-01 7.24e-01 4.87e-01
3 scenario3_n550_popSize5446_r0 2 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 2.55e-01 5.75e-01 9.78e-01
3 scenario3_n550_popSize5446_r0 3 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 9.25e-01 4.92e-01 5.95e-01
3 scenario3_n550_popSize5446_r0 4 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 6.26e-01 3.22e-01 3.95e-01
3 scenario3_n550_popSize5446_r0 5 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 4.86e-01 9.51e-01 2.43e-01
3 scenario3_n550_popSize5446_r0 6 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 2.96e-01 4.93e-01 2.19e-01
3 scenario3_n550_popSize5446_r0 7 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 6.25e-01 3.21e-01 9.81e-01
3 scenario3_n550_popSize5446_r0 8 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 5.12e-01 9.93e-01 6.88e-01
3 scenario3_n550_popSize5446_r0 9 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 1.00e+00 8.63e-01 4.32e-01
3 scenario3_n550_popSize5446_r0 10 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 7.54e-01 2.71e-01 1.00e+00
3 scenario3_n550_popSize5446_r0 11 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 8.14e-01 8.45e-01 2.06e-01
3 scenario3_n550_popSize5446_r0 12 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 6.65e-01 6.74e-01 2.68e-01
3 scenario3_n550_popSize5446_r0 13 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 1.57e-01 9.90e-01 9.50e-01
3 scenario3_n550_popSize5446_r0 14 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 3.02e-01 1.99e-01 3.07e-01
3 scenario3_n550_popSize5446_r0 15 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 4.13e-01 5.59e-01 7.20e-01
3 scenario3_n550_popSize5446_r0 16 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 7.98e-01 5.03e-01 2.07e-01
3 scenario3_n550_popSize5446_r0 17 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 4.00e-02 2.21e-01 7.59e-01
3 scenario3_n550_popSize5446_r0 18 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 2.37e-01 9.67e-01 4.20e-01
3 scenario3_n550_popSize5446_r0 19 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 8.30e-01 8.92e-01 2.23e-01
3 scenario3_n550_popSize5446_r0 20 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 9.70e-01 1.85e-01 9.99e-01
3 scenario3_n550_popSize5446_r0 21 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 3.90e-02 6.69e-01 2.00e-01
3 scenario3_n550_popSize5446_r0 22 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 7.58e-01 2.50e-01 1.56e-01
3 scenario3_n550_popSize5446_r0 23 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 2.17e-01 3.20e-02 7.62e-02
3 scenario3_n550_popSize5446_r0 24 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 4.80e-02 4.74e-01 2.87e-01
3 scenario3_n550_popSize5446_r0 25 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 9.64e-01 2.71e-01 7.50e-01
3 scenario3_n550_popSize5446_r0 26 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 6.56e-01 5.17e-01 4.98e-01
3 scenario3_n550_popSize5446_r0 27 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 5.30e-01 9.28e-01 2.58e-01
3 scenario3_n550_popSize5446_r0 28 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 2.07e-01 7.63e-01 7.32e-01
3 scenario3_n550_popSize5446_r0 29 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 3.76e-01 6.72e-01 7.24e-01
3 scenario3_n550_popSize5446_r0 30 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 7.75e-01 8.45e-01 1.48e-01
3 scenario3_n550_popSize5446_r0 31 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 1.70e-01 9.50e-01 3.78e-01
3 scenario3_n550_popSize5446_r0 32 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 2.84e-01 1.58e-01 2.10e-01
3 scenario3_n550_popSize5446_r0 33 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 7.92e-01 5.60e-02 2.17e-01
3 scenario3_n550_popSize5446_r0 34 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 4.81e-01 9.10e-01 2.52e-01
3 scenario3_n550_popSize5446_r0 35 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 3.82e-01 7.10e-02 9.31e-01
3 scenario3_n550_popSize5446_r0 36 550 5446 0 4.1e-7 16478 0 0.00223286 36.7931 1 0 1 1e-3 0.2 8.99e-01 7.45e-01 6.12e-01
