scenarioType simulation numSimulation numSequences popSize recRate mutRate length rho thetaRate theta status invSites jukesCantor popGrowth alphaShape pValNSS pValMaxChi pValPHI
3 scenario3_n100_popSize1288_r0 1 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.76e-01 4.16e-01 2.79e-01
3 scenario3_n100_popSize1288_r0 2 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 7.85e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 3 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 7.10e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 4 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 2.17e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 5 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 6.77e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 6 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 1.21e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 7 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 9.60e-02 1.00e+00
3 scenario3_n100_popSize1288_r0 8 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 3.54e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 9 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 7.40e-02 1.00e+00
3 scenario3_n100_popSize1288_r0 10 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 8.21e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 11 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 9.14e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 12 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 5.50e-01 3.69e-01
3 scenario3_n100_popSize1288_r0 13 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 3.11e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 14 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 9.69e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 15 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 3.72e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 16 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 4.20e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 17 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 9.32e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 18 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 6.05e-01 8.26e-01 2.89e-01
3 scenario3_n100_popSize1288_r0 19 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 8.45e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 20 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 6.22e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 21 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 1.97e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 22 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.65e-01 6.26e-01 9.67e-01
3 scenario3_n100_popSize1288_r0 23 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 8.20e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 24 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 2.02e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 25 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 6.20e-02 1.00e+00
3 scenario3_n100_popSize1288_r0 26 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 7.11e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 27 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 6.06e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 28 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 6.20e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 29 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 2.59e-01 3.69e-01
3 scenario3_n100_popSize1288_r0 30 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 6.51e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 31 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 4.27e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 32 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 4.74e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 33 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 3.73e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 34 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 8.35e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 35 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 5.85e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 36 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 1.41e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 37 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 8.17e-01 3.38e-01
3 scenario3_n100_popSize1288_r0 38 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 4.85e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 39 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 6.95e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 40 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 5.77e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 41 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 2.95e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 42 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 1.85e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 43 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 3.48e-01 4.28e-01 3.24e-01
3 scenario3_n100_popSize1288_r0 44 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 4.10e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 45 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 3.75e-01 4.30e-01
3 scenario3_n100_popSize1288_r0 46 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 1.95e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 47 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 8.71e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 48 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 1.99e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 49 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 7.06e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 50 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 1.80e-01 1.00e+00
3 scenario3_n100_popSize1288_r0 51 100 1288 0 4.1e-7 16478 0 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e+00 9.29e-01 1.00e+00
