scenarioType simulation numSimulation numSequences popSize recRate mutRate length rho thetaRate theta status invSites jukesCantor popGrowth alphaShape pValNSS pValMaxChi pValPHI
3 scenario3_n100_popSize1288_r2.4e-7 1 100 1288 2.4e-7 4.1e-7 16478 10.1874 0.00052808 8.7017 1 0 1 1e-3 0.2 1.91e-01 3.19e-01 6.58e-02
3 scenario3_n100_popSize1288_r2.4e-7 2 100 1288 2.4e-7 4.1e-7 16478 10.1874 0.00052808 8.7017 1 0 1 1e-3 0.2 1.00e-03 6.60e-02 2.68e-03
3 scenario3_n100_popSize1288_r2.4e-7 3 100 1288 2.4e-7 4.1e-7 16478 10.1874 0.00052808 8.7017 1 0 1 1e-3 0.2 6.52e-01 5.50e-01 6.20e-03
3 scenario3_n100_popSize1288_r2.4e-7 4 100 1288 2.4e-7 4.1e-7 16478 10.1874 0.00052808 8.7017 1 0 1 1e-3 0.2 8.00e-03 1.97e-01 1.43e-03
3 scenario3_n100_popSize1288_r2.4e-7 5 100 1288 2.4e-7 4.1e-7 16478 10.1874 0.00052808 8.7017 1 0 1 1e-3 0.2 1.10e-01 8.22e-01 5.44e-02
3 scenario3_n100_popSize1288_r2.4e-7 6 100 1288 2.4e-7 4.1e-7 16478 10.1874 0.00052808 8.7017 1 0 1 1e-3 0.2 4.00e-03 2.38e-01 6.80e-02
3 scenario3_n100_popSize1288_r2.4e-7 7 100 1288 2.4e-7 4.1e-7 16478 10.1874 0.00052808 8.7017 1 0 1 1e-3 0.2 2.80e-02 1.10e-02 4.52e-04
3 scenario3_n100_popSize1288_r2.4e-7 8 100 1288 2.4e-7 4.1e-7 16478 10.1874 0.00052808 8.7017 1 0 1 1e-3 0.2 4.55e-01 3.00e-03 7.96e-02
3 scenario3_n100_popSize1288_r2.4e-7 9 100 1288 2.4e-7 4.1e-7 16478 10.1874 0.00052808 8.7017 1 0 1 1e-3 0.2 8.72e-01 7.61e-01 1.39e-01
3 scenario3_n100_popSize1288_r2.4e-7 10 100 1288 2.4e-7 4.1e-7 16478 10.1874 0.00052808 8.7017 1 0 1 1e-3 0.2 1.10e-02 3.20e-02 1.12e-01
