scenarioType simulation numSimulation numSequences popSize recRate mutRate length rho thetaRate theta status invSites jukesCantor popGrowth alphaShape pValNSS pValMaxChi pValPHI
1 scenario1_n100_popSize2497_r4.9e-8 1 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 6.00e-03 0.00e+00 3.09e-02
1 scenario1_n100_popSize2497_r4.9e-8 2 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 7.50e-02 9.50e-02 1.52e-01
1 scenario1_n100_popSize2497_r4.9e-8 3 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 0.00e+00 1.00e-02 1.99e-03
1 scenario1_n100_popSize2497_r4.9e-8 4 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 0.00e+00 1.60e-02 7.76e-04
1 scenario1_n100_popSize2497_r4.9e-8 5 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 0.00e+00 0.00e+00 4.80e-07
1 scenario1_n100_popSize2497_r4.9e-8 6 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 5.00e-02 0.00e+00 1.92e-02
1 scenario1_n100_popSize2497_r4.9e-8 7 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 0.00e+00 0.00e+00 9.26e-08
1 scenario1_n100_popSize2497_r4.9e-8 8 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 1.50e-02 0.00e+00 8.44e-04
1 scenario1_n100_popSize2497_r4.9e-8 9 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 0.00e+00 0.00e+00 3.79e-05
1 scenario1_n100_popSize2497_r4.9e-8 10 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 0.00e+00 0.00e+00 5.14e-10
1 scenario1_n100_popSize2497_r4.9e-8 11 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 1.90e-02 9.76e-01 1.88e-01
1 scenario1_n100_popSize2497_r4.9e-8 12 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 2.00e-03 0.00e+00 3.00e-03
1 scenario1_n100_popSize2497_r4.9e-8 13 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 0.00e+00 0.00e+00 3.58e-07
1 scenario1_n100_popSize2497_r4.9e-8 14 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 0.00e+00 0.00e+00 4.91e-15
1 scenario1_n100_popSize2497_r4.9e-8 15 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 0.00e+00 0.00e+00 1.55e-21
1 scenario1_n100_popSize2497_r4.9e-8 16 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e-02 0.00e+00 9.69e-09
1 scenario1_n100_popSize2497_r4.9e-8 17 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 0.00e+00 0.00e+00 1.04e-06
1 scenario1_n100_popSize2497_r4.9e-8 18 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 0.00e+00 0.00e+00 2.10e-03
1 scenario1_n100_popSize2497_r4.9e-8 19 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 0.00e+00 0.00e+00 3.77e-07
1 scenario1_n100_popSize2497_r4.9e-8 20 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 3.00e-03 0.00e+00 1.04e-03
1 scenario1_n100_popSize2497_r4.9e-8 21 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 0.00e+00 0.00e+00 6.68e-04
1 scenario1_n100_popSize2497_r4.9e-8 22 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 4.60e-02 2.68e-01 3.19e-01
1 scenario1_n100_popSize2497_r4.9e-8 23 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e-02 1.90e-02 9.48e-02
1 scenario1_n100_popSize2497_r4.9e-8 24 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 0.00e+00 0.00e+00 2.54e-09
1 scenario1_n100_popSize2497_r4.9e-8 25 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 1.50e-02 0.00e+00 2.35e-03
1 scenario1_n100_popSize2497_r4.9e-8 26 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 5.50e-02 6.00e-03 4.28e-03
1 scenario1_n100_popSize2497_r4.9e-8 27 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 3.60e-02 1.80e-02 6.82e-04
1 scenario1_n100_popSize2497_r4.9e-8 28 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 0.00e+00 0.00e+00 3.38e-07
1 scenario1_n100_popSize2497_r4.9e-8 29 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 0.00e+00 6.60e-02 9.73e-03
1 scenario1_n100_popSize2497_r4.9e-8 30 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 0.00e+00 1.50e-02 6.68e-04
1 scenario1_n100_popSize2497_r4.9e-8 31 100 2497 4.9e-8 4.1e-7 16478 4.03227 0.00102377 16.8697 1 0 1 1e-3 0.2 2.30e-02 0.00e+00 8.92e-03
