scenarioType simulation numSimulation numSequences popSize recRate mutRate length rho thetaRate theta status invSites jukesCantor popGrowth alphaShape pValNSS pValMaxChi pValPHI
3 scenario3_n100_popSize2497_r0 1 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 3.10e-02 8.07e-01 6.34e-01
3 scenario3_n100_popSize2497_r0 2 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e+00 8.01e-01 1.00e+00
3 scenario3_n100_popSize2497_r0 3 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e+00 3.69e-01 1.00e+00
3 scenario3_n100_popSize2497_r0 4 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 2.04e-01 6.80e-02 3.79e-01
3 scenario3_n100_popSize2497_r0 5 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e+00 4.85e-01 1.00e+00
3 scenario3_n100_popSize2497_r0 6 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e+00 2.38e-01 1.00e+00
3 scenario3_n100_popSize2497_r0 7 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 6.48e-01 6.40e-02 9.99e-01
3 scenario3_n100_popSize2497_r0 8 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e+00 7.67e-01 1.00e+00
3 scenario3_n100_popSize2497_r0 9 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 2.80e-02 4.65e-01 9.59e-01
3 scenario3_n100_popSize2497_r0 10 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 2.23e-01 9.00e-03 3.48e-01
3 scenario3_n100_popSize2497_r0 11 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 8.97e-01 9.01e-01 4.86e-01
3 scenario3_n100_popSize2497_r0 12 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 8.12e-01 7.42e-01 4.73e-02
3 scenario3_n100_popSize2497_r0 13 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e+00 3.00e-03 1.00e+00
3 scenario3_n100_popSize2497_r0 14 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e+00 8.36e-01 1.00e+00
3 scenario3_n100_popSize2497_r0 15 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e+00 1.46e-01 1.00e+00
3 scenario3_n100_popSize2497_r0 16 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e+00 6.29e-01 1.00e+00
3 scenario3_n100_popSize2497_r0 17 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 4.72e-01 4.22e-01 3.00e-01
3 scenario3_n100_popSize2497_r0 18 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 7.32e-01 5.66e-01 2.35e-01
3 scenario3_n100_popSize2497_r0 19 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e+00 8.34e-01 1.00e+00
3 scenario3_n100_popSize2497_r0 20 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 7.26e-01 5.47e-01 2.92e-01
3 scenario3_n100_popSize2497_r0 21 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e+00 5.70e-02 1.00e+00
3 scenario3_n100_popSize2497_r0 22 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 3.70e-01 5.15e-01 9.48e-01
3 scenario3_n100_popSize2497_r0 23 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e+00 9.96e-01 9.90e-01
3 scenario3_n100_popSize2497_r0 24 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e+00 2.83e-01 1.00e+00
3 scenario3_n100_popSize2497_r0 25 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e+00 3.36e-01 1.00e+00
3 scenario3_n100_popSize2497_r0 26 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e+00 4.40e-02 4.09e-01
3 scenario3_n100_popSize2497_r0 27 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e+00 1.50e-02 1.00e+00
3 scenario3_n100_popSize2497_r0 28 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e+00 9.46e-01 1.00e+00
3 scenario3_n100_popSize2497_r0 29 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 9.39e-01 3.27e-01 6.51e-01
3 scenario3_n100_popSize2497_r0 30 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e+00 9.98e-01 1.00e+00
3 scenario3_n100_popSize2497_r0 31 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e+00 7.30e-02 3.58e-01
3 scenario3_n100_popSize2497_r0 32 100 2497 0 4.1e-7 16478 0 0.00102377 16.8697 1 0 1 1e-3 0.2 1.00e+00 9.59e-01 1.00e+00
